list_name	name	label	question	code	color
sp6bm32	bor_south	Bor South	County		
sp6bm32	twic_east	Twic East	County		
sp6bm32	duk	Duk	County		
sp6bm32	pibor	Pibor	County		
vj3be51	18_35	18-35	##Unknown##		
vj3be51	36_53	36-53	##Unknown##		
vj3be51	54_and_above	54 and above	##Unknown##		
ub8iv19	male	Male	Sex_of_respondent		
ub8iv19	female	Female	Sex_of_respondent		
jl1gl39	yes	Yes	Are_you_the_head_of_your_house		
jl1gl39	no	No	Are_you_the_head_of_your_house		
he0an06	husband	Husband	If_you_are_not_the_head_of_HH_		
he0an06	wife	Wife	If_you_are_not_the_head_of_HH_		
he0an06	brother	Brother	If_you_are_not_the_head_of_HH_		
he0an06	sister	Sister	If_you_are_not_the_head_of_HH_		
he0an06	son	Son	If_you_are_not_the_head_of_HH_		
he0an06	daughter	Daughter	If_you_are_not_the_head_of_HH_		
he0an06	co_wife	Co-wife	If_you_are_not_the_head_of_HH_		
he0an06	other_relative	Other relative	If_you_are_not_the_head_of_HH_		
mr8qu97	male	Male	If_you_are_not_the_h_er_of_the_head_of_HH		
mr8qu97	female	Female	If_you_are_not_the_h_er_of_the_head_of_HH		
nv4dg54	married	Married	Marital_status_of_the_respondent	1	green
nv4dg54	single	Single	Marital_status_of_the_respondent	0	blue
nv4dg54	divorced	Divorced	Marital_status_of_the_respondent	-1	red
nv4dg54	widowed	Widowed	Marital_status_of_the_respondent	1	grey
it3rz56	some_primary	Some Primary	What_is_the_highest_l_of_education_in_HH	0,5	red
it3rz56	completed_primary	Completed primary	What_is_the_highest_l_of_education_in_HH	1	orange
it3rz56	some_secondary	Some secondary	What_is_the_highest_l_of_education_in_HH	1,5	gold
it3rz56	completed_secondary	Completed secondary	What_is_the_highest_l_of_education_in_HH	2	yellow
it3rz56	some_university	Some university	What_is_the_highest_l_of_education_in_HH	2,5	lightgreen
it3rz56	completed_university	Completed university	What_is_the_highest_l_of_education_in_HH	3	green
it3rz56	graduate_degree	Graduate degree	What_is_the_highest_l_of_education_in_HH	3,5	darkgreen
it3rz56	no_education	No education	What_is_the_highest_l_of_education_in_HH	0	black
it3rz56	vocational_training	Vocational training	What_is_the_highest_l_of_education_in_HH	2	magenta
wz4br28	employed	Employed	What_is_your_employment_status	1	green
wz4br28	unemployed	Unemployed	What_is_your_employment_status	1	blue
wz4br28	self_employed	Self employed	What_is_your_employment_status	0	red
ue5qe12	land_cultivation	Land cultivation	What_is_your_household_s_prima		
ue5qe12	livestock	Livestock	What_is_your_household_s_prima		
ue5qe12	small_scale_trade	Small scale trade	What_is_your_household_s_prima		
ue5qe12	aid	Aid	What_is_your_household_s_prima		
ue5qe12	remittance	Remittance	What_is_your_household_s_prima		
ue5qe12	casual_employment	Casual employment	What_is_your_household_s_prima		
ue5qe12	formal_employment	Formal employment	What_is_your_household_s_prima		
ue5qe12	don_t_know	Don't know	What_is_your_household_s_prima		
ue5qe12	i_don_t_wish_to_answer	I don't wish to answer	What_is_your_household_s_prima		
ue5qe12	other__please_specify	Other, please specify	What_is_your_household_s_prima		
hk5cx91	0_ssp	0 SSP      	##Unknown##		
hk5cx91	0_100_ssp	0-100 SSP      	##Unknown##		
hk5cx91	101_300_ssp	101-300 SSP      	##Unknown##		
hk5cx91	301_500_ssp	301-500 SSP	##Unknown##		
hk5cx91	_500_ssp	>500 SSP	##Unknown##		
sk6nm37	2_4	2-4   	##Unknown##		
sk6nm37	5_6	5-6   	##Unknown##		
sk6nm37	7_10	7-10   	##Unknown##		
sk6nm37	_11	>11	##Unknown##		
qj4dm93	internally_displaced_person__i	Internally Displaced Person (IDP)	residence_status	-1	red
qj4dm93	returnee_idp	Returnee IDP	residence_status	0	lightgreen
qj4dm93	returnee_refugee	Returnee refugee   	residence_status	0	yellow
qj4dm93	host_community	Host Community	residence_status	1	green
qj4dm93	others__specify	Others (specify)	residence_status	888	grey
kj5js84	drought	Drought   	If_the_answer_is_IDP_why_did_		
kj5js84	lack_of_food	Lack of food   	If_the_answer_is_IDP_why_did_		
kj5js84	floods	Floods 	If_the_answer_is_IDP_why_did_		
kj5js84	conflict	Conflict 	If_the_answer_is_IDP_why_did_		
kj5js84	lack_of_water	Lack of water	If_the_answer_is_IDP_why_did_		
kj5js84	other	Other	If_the_answer_is_IDP_why_did_		
tx0rz32	1_3_months	1-3 months	If_the_answer_is_IDP_have_you_been_an_IDP	0	red
tx0rz32	4_6_months	4-6 months	If_the_answer_is_IDP_have_you_been_an_IDP	0,5	orange
tx0rz32	about_1_year	About 1 year	If_the_answer_is_IDP_have_you_been_an_IDP	1	yellow
tx0rz32	1_2_years	1-2 years	If_the_answer_is_IDP_have_you_been_an_IDP	1,5	lightblue
tx0rz32	over_2_years	Over 2 years	If_the_answer_is_IDP_have_you_been_an_IDP	2	blue
fp3vi73	only_one_movement_from_the_place_of_orig	Only one movement from the place of origin and now	If_the_answer_is_IDP_e_you_been_displaced	0	green
fp3vi73	two_or_more_movement_from_the_place_of_o	Two or more movement from the place of origin and now	If_the_answer_is_IDP_e_you_been_displaced	1	red
fp3vi73	don_t_remember	Don’t remember      	If_the_answer_is_IDP_e_you_been_displaced	888	grey
fp3vi73	don_t_want_to_answer	Don’t want to answer	If_the_answer_is_IDP_e_you_been_displaced	888	darkgrey
rl9jt61	increased	Increased	Have_you_in_the_last_f_trust_cooperation	-1	red
rl9jt61	decreased	Decreased	Have_you_in_the_last_f_trust_cooperation	1	green
rl9jt61	stayed_about_the_same	Stayed about the same	Have_you_in_the_last_f_trust_cooperation	0	yellow
rl9jt61	don_t_know	Don't know	Have_you_in_the_last_f_trust_cooperation	888	grey
rl9jt61	refused_to_answer	Refused to answer	Have_you_in_the_last_f_trust_cooperation	888	darkgrey
ca3ch33	not_at_all_able	Not at all able	To_what_extent_do_yo_and_basic_education	0	red
ca3ch33	partially_able	Partially able	To_what_extent_do_yo_and_basic_education	1	yellow
ca3ch33	almost_able	Almost able	To_what_extent_do_yo_and_basic_education	2	lightgreen
ca3ch33	able	Able	To_what_extent_do_yo_and_basic_education	3	green
